NUTS_ID,CompanyName,Subsector,Emissions_ETS_2014,Production,Fuel_Demand,Cluster
DEE07,EUROGLAS GmbH,Glass,119698.0,210868.41,639.63,DEE
DEE05,GUARDIAN Flachglas GmbH,Glass,118199.0,208227.67,631.62,DEE
DEE09,Ilsenburger Grobblech GmbH,Iron and steel,104990.0,598292.17,,DEE
DEE08,LAFARGE Zement GmbH Oberursel,Cement,882556.0,1280975.99,1245.39,DEE
DEE08,Radici Chimica Deutschland GmbH,Chemical industry,120253.0,,,DEE
DEE0E,SKW Stickstoffwerke Piesteritz GmbH,Chemical industry,2394804.0,,,DEE
DEE0C,,Chemical industry,174349.0,,,DEE
DEE0C,SOLVAY Chemicals GmbH,Chemical industry,179593.0,,,DEE
DEE0D,Zellstoff Stendal GmbH,Paper and printing,73526.0,,,DEE
DEE0A,ROMONTA  GmbH,Refineries,496300.0,,,DEE
DEE09,FELS-WERKE GmbH,Cement,806130.0,,,DEE
DEE09,FELS-WERKE GmbH,Cement,117046.0,,,DEE
DEG06,Deuna Zement GmbH,Cement,993541.0,1442063.92,1402.0,DEE
DE600,Shell Deutschland Oil GmbH,Refineries,321510.0,,,DE9
DE21J,BAYERNOIL Raffineriegesellschaft mbH,Refineries,608364.0,,,DE2
DE226,BAYERNOIL Raffineriegesellschaft mbH,Refineries,1098245.0,,,DE2
DE40I,LEIPA Georg Leinfelder GmbH Werk Schwedt,Paper and printing,48825.0,187833.8,286.96,DEE
DE945,Vinyls Wilhelmshaven GmbH,Chemical industry,167664.0,,,DE9
DEA23,Saint-Gobain Glass Deutschland GmbH,Glass,148098.0,,,DEA
DEA2D,SAINT-GOBAIN GLASS DEUTSCHLAND GMBH,Glass,108259.0,,578.5,DEA
DEA38,Phoenix Zementwerke Krogbeumker,Cement,259013.0,375941.51,365.49,DEA
DEE0B,TOTAL Raffinerie Mitteldeutschland GmbH,Refineries,1873500.0,,,DEE
DEG0I,Stahlwerk Thüringen GmbH,Iron and steel,101588.0,442354.81,15.39,DEE
DE600,Aurubis AG,Non-ferrous metals,186620.0,,,DE9
DE939,DOW Deutschland Anlagengesellschaft Werk Stade mbH,Chemical industry,1082.0,,,DE9
DEA27,Basell Polyolefine GmbH Werk Wesseling,Chemical industry,1343202.0,,,DEA
DEA23,INEOS Manufacturing Deutschland GmbH,Chemical industry,2202742.0,,,DEA
DEA32,RUHR OEL GmbH,Refineries,4568524.0,,,DEA
DE40I,PCK Raffinerie GmbH Schwedt,Refineries,3714705.0,,,DEE
DE40B,BASF Schwarzheide GmbH,Chemical industry,44542.0,,,DEE
DED43,Befesa Zinc Freiberg GmbH,Non-ferrous metals,89667.0,,,DEE
DED2E,ESF Elbe-Stahlwerke Feralpi GmbH,Iron and steel,93384.0,321913.22,23.7,DEE
DED53,Flachglas Torgau GmbH,Glass,115042.0,202666.08,614.75,DEE
DEE07,EUROGLAS AG,Glass,138518.0,244023.05,740.2,DEE
DEE0B,Linde Gas Produktionsgesellschaft mbH & Co. KG,Chemical industry,663680.0,,,DEE
DEB34,BASF,Chemical industry,3974214.0,,,DEA
DE214,Linde Gas Produktionsgesellschaft mbH & Co. KG,Chemical industry,74367.0,,,DE2
DEA31,ArcelorMittal Bremen GmbH,Iron and steel,301683.0,1719159.7,912.72,DEA
DED52,Trinseo Deutschland GmbH,Chemical industry,101320.0,,,DEE
DEA5B,Calcis Warstein GmbH & Co KG - Kalkwerk Warstein -,Cement,147357.0,,,DEA
DEA17,Air Liquide Deutschland GmbH,Chemical industry,77696.0,,,DEA
DEA27,Orion Engineered Carbons GmbH Werk Kalscheuren,Chemical industry,296471.0,,,DEA
DEA28,Lafarge Zement Karsdorfer Zement GmbH,Cement,,,,DEA
DE122,Werk 2 MIRO-Mineralölraffinerie Oberrhein GmbH & Co.KG,Refineries,,,,DE2
DE139,BASF Handels- und Exportgesellschaft mbH,Chemical industry,,,,DE2
DE139,DSM Nutritional Products GmbH,Chemical industry,,,,DE2
DE13A,RWV GmbH,Paper and printing,,,,DE2
DE118,Solvay Fluor GmbH,Chemical industry,,,,DE2
DE938,Dow Wolff Cellulosics GmbH,Chemical industry,,,,DE9
DE939,Aluminium Oxid Stade GmbH,Chemical industry,,,,DE9
DE922,Elastogran GmbH,Chemical industry,,,,DE9
DE945,INEOS Chlor Atlantik GmbH,Chemical industry,,,,DE9
DE943,"Bayer MaterialScience AG, Leverkusen",Chemical industry,,,,DE9
DE94G,KRONOS TITAN GmbH Werk Nordenham,Chemical industry,,,,DE9
DE944,Technocell Dekor GmbH & Co. KG,Paper and printing,,,,DE9
DEA12,ThyssenKrupp Steel Europe AG,Iron and steel,,1355220.68,,DEA
DEA12,ThyssenKrupp Steel Europe AG,Iron and steel,,2253355.11,,DEA
DEA12,ThyssenKrupp Steel Europe AG,Iron and steel,,8901153.63,,DEA
DEA12,ThyssenKrupp Steel Europe AG,Iron and steel,,8072517.71,,DEA
DEA19,Borbet Solingen GmbH,Non-ferrous metals,,,,DEA
DEA12,Huntsman Corporation,Chemical industry,,,,DEA
DEA17,OXEA S.à r.l.,Chemical industry,,,,DEA
DEA17,Topas Advanced Polymers GmbH,Chemical industry,,,,DEA
DEA27,Martinswerk GmbH,Chemical industry,,,,DEA
DEA24,KRONOS INTERNATIONAL Inc.,Chemical industry,,,,DEA
DEA23,Vinnolit GmbH & Co.KG.,Chemical industry,,,,DEA
DEA27,Bayer AG,Chemical industry,,,,DEA
DEA24,,Chemical industry,,,,DEA
DEA23,Wacker Chemie AG vormals A P P bzw. Wacker Polymers,Chemical industry,,,,DEA
DEA27,Kraton Polymers GmbH Werk Wesseling,Chemical industry,,,,DEA
DEA24,LANXESS AG,Chemical industry,,,,DEA
DEA38,HeidelbergCement AG,Cement,,643171.48,625.3,DEA
DEA32,RUHR OEL GMBH,Refineries,,,,DEA
DEA36,Chemische Fabrik Stockhausen GmbH,Chemical industry,,,,DEA
DEA56,Evonik Degussa GmbH,Chemical industry,,,,DEA
DE715,BASF  Lampertheim GmbH,Chemical industry,,,,DEA
DE717,Ticona GmbH,Chemical industry,,,,DEA
DE722,HeidelbergCement AG,Cement,,,,DEA
DE712,Solvay Fluor GmbH,Chemical industry,,,,DEA
DE712,Clariant Verwaltungsgesellschaft mbH + Clariant AG,Chemical industry,,,,DEA
DEB18,Solvay & CPC Barium Strontium GmbH & Co KG,Chemical industry,,,,DEA
DEB14,Schaefer Kalk GmbH & Co.KG,Cement,,,,DEA
DEB39,Grace GmbH & Co. KG,Chemical industry,,,,DEA
DE124,DOW Deutschland AnlagenGmbH Werk Rheinmünster,Chemical industry,,,,DE2
DE211,BAYERNOIL Raffineriegesellschaft mbH,Refineries,,,,DE2
DE21K,HBB Heizkraftwerk Bauernfeind Betreibergesellschaft mbH,Paper and printing,,,,DE2
DE226,Kelheim Fibres GmbH,Chemical industry,,,,DE2
DE228,AMG Mining AG,Chemical industry,,,,DE2
DE254,"Honsel AG, Meschede",Non-ferrous metals,,,,DE2
DE273,3M United States,Non-metallic mineral products,,,,DE2
DE278,ARKEMA GmbH Niederlassung Günzburg-Wasserburg,Chemical industry,,,,DE2
DED2C,Sustec Schwarze Pumpe GmbH Schwarze Pumpe GmbH,Chemical industry,,,,DEE
DED43,Befesa Zinc Freiberg GmbH & Co. KG,Non-ferrous metals,,,,DEE
DED2F,dgh Druckguss Heidenau GmbH Sitz Dohna,Non-ferrous metals,,,,DEE
DED2E,Wacker-Chemie AG,Chemical industry,,,,DEE
DEE08,CropEnergies Bioethanol GmbH,Chemical industry,,,,DEE
DEE07,K + S KALI GmbH,Chemical industry,,,,DEE
DEE09,FELS-WERKE GmbH,Cement,,,,DEE
DE94D,ExxonMobil Production Deutschland GmbH,Chemical industry,,,,DE9
DE927,ExxonMobil Production Deutschland GmbH,Chemical industry,,,,DE9
DEE0B,TOTAL Raffinerie Mitteldeutschland GmbH,Refineries,,,,DEE
DEA11,Vallourec Deutschland GmbH,Iron and steel,,,,DEA
DED2E,Wacker-Chemie AG,Chemical industry,,,,DEE
DED2F,DGH-Group Druckguss Heidenau GmbH Sitz Dohna,Non-ferrous metals,,,,DEE
DED52,Dow Olefinverbund GmbH Herr Roghmann,Chemical industry,,,,DEE
DED53,Stora Enso Sachsen GmbH,Paper and printing,,,,DEE
DEE0B,Linde Gas Produktionsgesellschaft mbH & Co. KG,Chemical industry,,,,DEE
DED43,Befesa Zinc Freiberg GmbH,Non-ferrous metals,,,,DEE
DE13A,H.C.Stark Smelting GmbH & Co. KG,Non-metallic mineral products,,,,DE2
DEA1F,Solvay Chlorovinyls GmbH,Chemical industry,,,,DEA
DE272,Hans Kolb Papierfabrik GmbH & Co. KG,Paper and printing,26698.0,102709.4,156.91,DE2
DE113,Papierfabrik Scheufelen GmbH + Co. KG,Paper and printing,68524.0,263617.48,402.74,DE2
DE113,Papierfabrik Scheufelen GmbH + Co. KG,Paper and printing,18525.0,,,DE2
DEE08,Südzucker Aktiengesellschaft Mannheim/Ochsenfurt,Cement,150676.0,,,DEE
DEA27,Steinzeug-Keramo GmbH,Non-metallic mineral products,18143.0,,,DEA
DEA32,Papierfabrik Fritz Peters GmbH & Co. KG,Paper and printing,46846.0,180220.42,275.33,DEA
DEA51,Bochumer Verein Verkehrstechnik GmbH,Iron and steel,17629.0,100459.97,,DEA
DEA12,Emscher Aufbereitung GmbH,Iron and steel,31558.0,73724.32,,DEA
DE123,Refratechnik Cement GmbH,Non-metallic mineral products,11141.0,,,DE2
DED43,Lunzenauer Papier- und Pappenfabrik GmbH & Co.KG,Paper and printing,2161.0,,,DEE
DEA22,Weck Glaswerk GmbH,Glass,36495.0,,,DEA
DE926,O-I GLASSPACK GmbH & Co.KG,Glass,43082.0,72486.59,116.38,DE9
DE219,SGD Kipfenberg GmbH,Glass,34141.0,57443.12,92.22,DE2
DE600,Hydro Aluminium Rolled Products GmbH,Non-ferrous metals,33271.0,,,DE9
DE600,Hydro Aluminium Rolled Products GmbH,Non-ferrous metals,13819.0,,,DE9
DEA1D,Hydro Aluminium Rolled Products GmbH,Non-ferrous metals,22346.0,,,DEA
DEA1D,Hydro Aluminium Rolled Products GmbH,Non-ferrous metals,8118.0,,,DEA
DEA1D,Aleris Recycling (German Works) GmbH,Non-ferrous metals,18860.0,,,DEA
DE214,Aleris Recycling (German Works) GmbH,Non-ferrous metals,41892.0,,,DE2
DE268,Knauf Gips KG,Non-metallic mineral products,60435.0,,,DE2
