,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 4 onwind,onwind,8.1,DE0 4,,,2022.0
DE0 4 solar,solar,0.190746,DE0 4,,,2022.0
DE0 7 onwind,onwind,18.0,DE0 7,,,2022.0
DE0 7 solar,solar,0.16154,DE0 7,,,2022.0
DE0 8 onwind,onwind,22.5,DE0 8,,,2022.0
DE0 8 solar,solar,0.023044,DE0 8,,,2022.0
DE0 9 onwind,onwind,51.46,DE0 9,,,2022.0
DE0 9 solar,solar,0.566339,DE0 9,,,2022.0
DE0 A onwind,onwind,37.6,DE0 A,,,2022.0
DE0 A solar,solar,2.334479,DE0 A,,,2022.0
DE0 B onwind,onwind,9.31,DE0 B,,,2022.0
DE0 B solar,solar,0.15637,DE0 B,,,2022.0
DE0 C onwind,onwind,0.5,DE0 C,,,2022.0
DE0 C solar,solar,0.18185,DE0 C,,,2022.0
DE0 D onwind,onwind,26.9,DE0 D,,,2022.0
DE0 D solar,solar,0.0409,DE0 D,,,2022.0
DE0 E onwind,onwind,31.75,DE0 E,,,2022.0
DE0 E solar,solar,0.03411,DE0 E,,,2022.0
DE0 F onwind,onwind,35.4,DE0 F,,,2022.0
DE0 F solar,solar,0.752807,DE0 F,,,2022.0
DE0 G onwind,onwind,22.05,DE0 G,,,2022.0
DE0 G solar,solar,0.0896,DE0 G,,,2022.0
DE0 1 onwind,onwind,1.4449999999999998,DE0 1,,,2023.0
DE0 1 solar,solar,0.586255,DE0 1,,,2023.0
DE0 2 onwind,onwind,3.6,DE0 2,,,2023.0
DE0 2 solar,solar,1.11072,DE0 2,,,2023.0
DE0 4 onwind,onwind,17.35,DE0 4,,,2023.0
DE0 4 solar,solar,0.229839,DE0 4,,,2023.0
DE0 7 onwind,onwind,18.05,DE0 7,,,2023.0
DE0 7 solar,solar,0.177074,DE0 7,,,2023.0
DE0 8 onwind,onwind,69.01,DE0 8,,,2023.0
DE0 8 solar,solar,0.0246,DE0 8,,,2023.0
DE0 9 onwind,onwind,111.43,DE0 9,,,2023.0
DE0 9 solar,solar,0.872806,DE0 9,,,2023.0
DE0 A onwind,onwind,56.2204,DE0 A,,,2023.0
DE0 A solar,solar,1.86696,DE0 A,,,2023.0
DE0 B onwind,onwind,15.0,DE0 B,,,2023.0
DE0 B solar,solar,0.08044,DE0 B,,,2023.0
DE0 C solar,solar,0.11673,DE0 C,,,2023.0
DE0 D onwind,onwind,30.36,DE0 D,,,2023.0
DE0 D solar,solar,0.04156,DE0 D,,,2023.0
DE0 E onwind,onwind,35.46,DE0 E,,,2023.0
DE0 E solar,solar,0.04666,DE0 E,,,2023.0
DE0 F onwind,onwind,56.35,DE0 F,,,2023.0
DE0 F solar,solar,0.575363,DE0 F,,,2023.0
DE0 G onwind,onwind,17.9,DE0 G,,,2023.0
DE0 G solar,solar,0.19339,DE0 G,,,2023.0
DE0 1 solar,solar,1.180733,DE0 1,,,2024.0
DE0 2 onwind,onwind,4.01375,DE0 2,,,2024.0
DE0 2 solar,solar,1.686483,DE0 2,,,2024.0
DE0 4 onwind,onwind,49.3,DE0 4,,,2024.0
DE0 4 solar,solar,0.6193339999999999,DE0 4,,,2024.0
DE0 7 onwind,onwind,3.7,DE0 7,,,2024.0
DE0 7 solar,solar,0.567982,DE0 7,,,2024.0
DE0 8 onwind,onwind,139.08,DE0 8,,,2024.0
DE0 8 solar,solar,0.06946,DE0 8,,,2024.0
DE0 9 onwind,onwind,152.92,DE0 9,,,2024.0
DE0 9 solar,solar,1.111129,DE0 9,,,2024.0
DE0 A onwind,onwind,50.595,DE0 A,,,2024.0
DE0 A solar,solar,2.61179,DE0 A,,,2024.0
DE0 B onwind,onwind,19.42,DE0 B,,,2024.0
DE0 B solar,solar,0.23727,DE0 B,,,2024.0
DE0 C onwind,onwind,7.52,DE0 C,,,2024.0
DE0 C solar,solar,0.26327,DE0 C,,,2024.0
DE0 D onwind,onwind,117.37,DE0 D,,,2024.0
DE0 D solar,solar,0.030416,DE0 D,,,2024.0
DE0 E onwind,onwind,164.16,DE0 E,,,2024.0
DE0 E solar,solar,0.10395,DE0 E,,,2024.0
DE0 F onwind,onwind,265.02,DE0 F,,,2024.0
DE0 F solar,solar,0.553962,DE0 F,,,2024.0
DE0 G onwind,onwind,69.14,DE0 G,,,2024.0
DE0 G solar,solar,0.252192,DE0 G,,,2024.0
DE0 1 onwind,onwind,55.11,DE0 1,,,2025.0
DE0 1 solar,solar,7.931109,DE0 1,,,2025.0
DE0 2 onwind,onwind,12.11,DE0 2,,,2025.0
DE0 2 solar,solar,13.860597,DE0 2,,,2025.0
DE0 4 onwind,onwind,60.05,DE0 4,,,2025.0
DE0 4 solar,solar,0.957428,DE0 4,,,2025.0
DE0 7 onwind,onwind,40.58,DE0 7,,,2025.0
DE0 7 solar,solar,2.821467,DE0 7,,,2025.0
DE0 8 onwind,onwind,82.8505,DE0 8,,,2025.0
DE0 8 solar,solar,0.106422,DE0 8,,,2025.0
DE0 9 onwind,onwind,370.1,DE0 9,,,2025.0
DE0 9 solar,solar,3.691428,DE0 9,,,2025.0
DE0 A onwind,onwind,190.642,DE0 A,,,2025.0
DE0 A solar,solar,5.44203,DE0 A,,,2025.0
DE0 B onwind,onwind,56.7,DE0 B,,,2025.0
DE0 B solar,solar,0.85788,DE0 B,,,2025.0
DE0 C onwind,onwind,29.7615,DE0 C,,,2025.0
DE0 C solar,solar,0.5976,DE0 C,,,2025.0
DE0 D onwind,onwind,61.54,DE0 D,,,2025.0
DE0 D solar,solar,0.262875,DE0 D,,,2025.0
DE0 E onwind,onwind,187.34,DE0 E,,,2025.0
DE0 E solar,solar,0.315015,DE0 E,,,2025.0
DE0 F onwind,onwind,245.045,DE0 F,,,2025.0
DE0 F solar,solar,1.348608,DE0 F,,,2025.0
DE0 G onwind,onwind,66.47,DE0 G,,,2025.0
DE0 G solar,solar,0.983532,DE0 G,,,2025.0
DE0 1 onwind,onwind,52.564,DE0 1,,,2026.0
DE0 1 solar,solar,27.374873,DE0 1,,,2026.0
DE0 2 onwind,onwind,20.652,DE0 2,,,2026.0
DE0 2 solar,solar,35.257852,DE0 2,,,2026.0
DE0 4 onwind,onwind,225.75,DE0 4,,,2026.0
DE0 4 solar,solar,2.053373,DE0 4,,,2026.0
DE0 7 onwind,onwind,45.8,DE0 7,,,2026.0
DE0 7 solar,solar,8.142958,DE0 7,,,2026.0
DE0 8 onwind,onwind,280.21,DE0 8,,,2026.0
DE0 8 solar,solar,1.944259,DE0 8,,,2026.0
DE0 9 onwind,onwind,489.38,DE0 9,,,2026.0
DE0 9 solar,solar,8.090952,DE0 9,,,2026.0
DE0 A onwind,onwind,321.8798,DE0 A,,,2026.0
DE0 A solar,solar,11.87991,DE0 A,,,2026.0
DE0 B onwind,onwind,84.24,DE0 B,,,2026.0
DE0 B solar,solar,2.11126,DE0 B,,,2026.0
DE0 C onwind,onwind,22.01,DE0 C,,,2026.0
DE0 C solar,solar,1.44722,DE0 C,,,2026.0
DE0 D onwind,onwind,119.97,DE0 D,,,2026.0
DE0 D solar,solar,1.358368,DE0 D,,,2026.0
DE0 E onwind,onwind,322.75,DE0 E,,,2026.0
DE0 E solar,solar,1.328995,DE0 E,,,2026.0
DE0 F onwind,onwind,436.59,DE0 F,,,2026.0
DE0 F solar,solar,3.006586,DE0 F,,,2026.0
DE0 G onwind,onwind,102.703,DE0 G,,,2026.0
DE0 G solar,solar,3.810413,DE0 G,,,2026.0
DE0 1 onwind,onwind,49.04575,DE0 1,,,2027.0
DE0 1 solar,solar,30.026357,DE0 1,,,2027.0
DE0 2 onwind,onwind,28.9925,DE0 2,,,2027.0
DE0 2 solar,solar,45.260971,DE0 2,,,2027.0
DE0 4 onwind,onwind,391.4,DE0 4,,,2027.0
DE0 4 solar,solar,1.02661,DE0 4,,,2027.0
DE0 7 onwind,onwind,91.18,DE0 7,,,2027.0
DE0 7 solar,solar,7.219828,DE0 7,,,2027.0
DE0 8 onwind,onwind,100.8,DE0 8,,,2027.0
DE0 8 solar,solar,1.423814,DE0 8,,,2027.0
DE0 9 onwind,onwind,612.2,DE0 9,,,2027.0
DE0 9 solar,solar,5.640107,DE0 9,,,2027.0
DE0 A onwind,onwind,408.79084,DE0 A,,,2027.0
DE0 A solar,solar,9.797098,DE0 A,,,2027.0
DE0 B onwind,onwind,106.742,DE0 B,,,2027.0
DE0 B solar,solar,2.13744,DE0 B,,,2027.0
DE0 C onwind,onwind,49.93,DE0 C,,,2027.0
DE0 C solar,solar,0.74609,DE0 C,,,2027.0
DE0 D onwind,onwind,119.51,DE0 D,,,2027.0
DE0 D solar,solar,0.772071,DE0 D,,,2027.0
DE0 E onwind,onwind,483.96,DE0 E,,,2027.0
DE0 E solar,solar,1.005404,DE0 E,,,2027.0
DE0 F onwind,onwind,344.08,DE0 F,,,2027.0
DE0 F solar,solar,1.698766,DE0 F,,,2027.0
DE0 G onwind,onwind,191.375,DE0 G,,,2027.0
DE0 G solar,solar,2.858799,DE0 G,,,2027.0
DE0 1 onwind,onwind,35.404,DE0 1,,,2028.0
DE0 1 solar,solar,42.723511,DE0 1,,,2028.0
DE0 2 onwind,onwind,15.718,DE0 2,,,2028.0
