NUTS0_code,process,month,daytype,hour,load
IE,iron_and_steel,3,0,18,114.1660888
IE,iron_and_steel,3,0,19,114.1660888
IE,iron_and_steel,3,0,20,114.1660888
IE,iron_and_steel,3,0,21,114.1660888
IE,iron_and_steel,3,0,22,114.1660888
IE,iron_and_steel,3,0,23,112.0184267
IE,iron_and_steel,3,0,24,112.0184267
IE,iron_and_steel,3,1,1,112.0184272
IE,iron_and_steel,3,1,2,112.0184272
IE,iron_and_steel,3,1,3,112.0184272
IE,iron_and_steel,3,1,4,112.0184272
IE,iron_and_steel,3,1,5,112.0184272
IE,iron_and_steel,3,1,6,112.0184272
IE,iron_and_steel,3,1,7,114.28746
IE,iron_and_steel,3,1,8,114.4088307
IE,iron_and_steel,3,1,9,114.5706584
IE,iron_and_steel,3,1,10,114.5706584
IE,iron_and_steel,3,1,11,114.5706584
IE,iron_and_steel,3,1,12,114.5706584
IE,iron_and_steel,3,1,13,114.5706584
IE,iron_and_steel,3,1,14,114.5706584
IE,iron_and_steel,3,1,15,114.4088307
IE,iron_and_steel,3,1,16,114.28746
IE,iron_and_steel,3,1,17,114.1660893
IE,iron_and_steel,3,1,18,114.1660893
IE,iron_and_steel,3,1,19,114.1660893
IE,iron_and_steel,3,1,20,114.1660893
IE,iron_and_steel,3,1,21,114.1660893
IE,iron_and_steel,3,1,22,114.1660893
IE,iron_and_steel,3,1,23,112.0184272
IE,iron_and_steel,3,1,24,112.0184272
IE,iron_and_steel,3,2,1,111.1515678
IE,iron_and_steel,3,2,2,111.1515678
IE,iron_and_steel,3,2,3,111.1515678
IE,iron_and_steel,3,2,4,111.1515678
IE,iron_and_steel,3,2,5,111.1515678
IE,iron_and_steel,3,2,6,111.1515678
IE,iron_and_steel,3,2,7,113.4030416
IE,iron_and_steel,3,2,8,113.5234731
IE,iron_and_steel,3,2,9,113.6840484
IE,iron_and_steel,3,2,10,113.6840484
IE,iron_and_steel,3,2,11,113.6840484
IE,iron_and_steel,3,2,12,113.6840484
IE,iron_and_steel,3,2,13,113.6840484
IE,iron_and_steel,3,2,14,113.6840484
IE,iron_and_steel,3,2,15,113.5234731
IE,iron_and_steel,3,2,16,113.4030416
IE,iron_and_steel,3,2,17,113.2826101
IE,iron_and_steel,3,2,18,113.2826101
