date,day_type,hour,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEA1,DEA2,DEA3,DEA4,DEA5,DEB1,DEB2,DEB3,DED2,DED4,DED5,DEE0,DEF0,DEG0,Dec-00
1/2/2019 19:00,0,19,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18,11634.18
1/2/2019 20:00,0,20,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77,13444.77
1/2/2019 21:00,0,21,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83,12280.83
1/2/2019 22:00,0,22,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5,11763.5
1/2/2019 23:00,0,23,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6,9435.6
1/3/2019 0:00,0,0,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42,6202.42
1/3/2019 1:00,0,1,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25,2969.25
1/3/2019 2:00,0,2,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42,1160.42
1/3/2019 3:00,0,3,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88,450.88
1/3/2019 4:00,0,4,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21,580.21
