country;NUTS0_ID;type_of_building;heating_equipment;year;datetime;price_index_households_appliances;labour_cost_index_construction_sector;equipment_and_maintenance_index;specific_investment_costs;equipment_cost_ share;installation_cost_share;fixed_O_and_M;variable_O_and_M;technical_lifetime;total_annual_net_efficiency;k1_specific_investment_costs;k2_specific_investment_costs;InCost_CAGR;k1_fixed_O_and_M;k2_fixed_O_and_M;;;;;
Estonia;EE;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.82;0.3;0.72;443;0.7;0.3;12;;20;0.88;2138;-0.51;;42;-0.56;;;;;
Finland;FI;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.94;0.87;0.92;611;0.7;0.3;15;;20;0.88;2959;-0.51;;54;-0.56;;;;;
France;FR;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.93;0.8;0.84;592;0.7;0.3;13;;20;0.88;2869;-0.51;;49;-0.56;;;;;
Germany;DE;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.89;0.69;0.82;553;0.7;0.3;13;;20;0.88;2673;-0.51;;48;-0.56;;;;;
Greece;EL;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.81;0.29;0.74;435;0.7;0.3;12;;20;0.88;2106;-0.51;;43;-0.56;;;;;
Hungary;HU;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.76;0.15;0.57;386;0.7;0.3;9;;20;0.88;1858;-0.51;;33;-0.56;;;;;
Ireland;IE;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.87;0.69;0.83;543;0.7;0.3;13;;20;0.88;2628;-0.51;;49;-0.56;;;;;
Italy;IT;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.94;0.6;0.87;561;0.7;0.3;14;;20;0.88;2699;-0.51;;51;-0.56;;;;;
Latvia;LV;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.76;0.19;0.68;394;0.7;0.3;11;;20;0.88;1897;-0.51;;40;-0.56;;;;;
Lithuania;LT;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.81;0.18;0.66;415;0.7;0.3;11;;20;0.88;2000;-0.51;;39;-0.56;;;;;
Luxembourg;LU;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.98;0.64;0.92;588;0.7;0.3;15;;20;0.88;2827;-0.51;;54;-0.56;;;;;
Malta;MT;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;1.16;0.24;0.85;589;0.7;0.3;14;;20;0.88;2847;-0.51;;50;-0.56;;;;;
Netherlands;NL;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.87;0.86;0.88;576;0.7;0.3;14;;20;0.88;2792;-0.51;;51;-0.56;;;;;
Poland;PL;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.66;0.19;0.52;347;0.7;0.3;8;;20;0.88;1671;-0.51;;30;-0.56;;;;;
Portugal;PT;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;1;0.3;0.77;528;0.7;0.3;12;;20;0.88;2544;-0.51;;45;-0.56;;;;;
Romania;RO;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.8;0.11;0.57;393;0.7;0.3;9;;20;0.88;1910;-0.51;;33;-0.56;;;;;
Slovakia;SK;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.81;0.24;0.66;423;0.7;0.3;11;;20;0.88;2058;-0.51;;39;-0.56;;;;;
Slovenia;SI;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.88;0.3;0.73;470;0.7;0.3;12;;20;0.88;2274;-0.51;;43;-0.56;;;;;
Spain;ES;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.89;0.51;0.82;519;0.7;0.3;13;;20;0.88;2499;-0.51;;48;-0.56;;;;;
Sweden;SE;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;1.01;1.02;0.98;673;0.7;0.3;16;;20;0.88;3262;-0.51;;57;-0.56;;;;;
United Kingdom;UK;new SFH;Bio-oil boiler;2015;01.01.2015 00:00;0.87;0.71;0.85;547;0.7;0.3;14;;20;0.88;2647;-0.51;;50;-0.56;;;;;
Austria;AT;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.82;0.81;0.9;143;0.7;0.3;3;0.025;20;0.88;2631;-0.51;;53;-0.56;;;;;
Belgium;BE;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.92;0.88;0.88;159;0.7;0.3;3;0.025;20;0.88;2924;-0.51;;51;-0.56;;;;;
Bulgaria;BG;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.73;0.09;0.52;95;0.7;0.3;2;0.025;20;0.88;1733;-0.51;;30;-0.56;;;;;
Croatia;HR;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.83;0.23;0.66;114;0.7;0.3;2;0.025;20;0.88;2093;-0.51;;39;-0.56;;;;;
Cyprus;CY;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;1.02;0.36;0.73;144;0.7;0.3;3;0.025;20;0.88;2647;-0.51;;43;-0.56;;;;;
Czech Republic;CZ;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.8;0.24;0.63;111;0.7;0.3;2;0.025;20;0.88;2035;-0.51;;37;-0.56;;;;;
Denmark;DK;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;1;1;1;175;0.7;0.3;4;0.025;20;0.88;3220;-0.51;;58;-0.56;;;;;
Estonia;EE;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.82;0.3;0.72;116;0.7;0.3;3;0.025;20;0.88;2138;-0.51;;42;-0.56;;;;;
Finland;FI;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.94;0.87;0.92;160;0.7;0.3;3;0.025;20;0.88;2959;-0.51;;54;-0.56;;;;;
France;FR;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.93;0.8;0.84;156;0.7;0.3;3;0.025;20;0.88;2869;-0.51;;49;-0.56;;;;;
Germany;DE;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.89;0.69;0.82;145;0.7;0.3;3;0.025;20;0.88;2673;-0.51;;48;-0.56;;;;;
Greece;EL;new MFH;Bio-oil boiler;2015;01.01.2015 00:00;0.81;0.29;0.74;114;0.7;0.3;3;0.025;20;0.88;2106;-0.51;;43;-0.56;;;;;
