snapshot,DE0 1,DE0 2,DE0 4,DE0 7,DE0 8,DE0 9,DE0 A,DE0 B,DE0 C,DE0 D,DE0 E,DE0 F,DE0 G
2013-11-05 03:00:00,7704.427059927063,11094.997009001692,2660.7658045676208,4761.11994437348,770.2105546921631,6280.611577946038,9084.573271560823,2682.7583977625295,601.7221431103188,1853.1530829150727,1503.6637742295584,2193.2046656666266,1798.9026142470177
2013-11-05 04:00:00,8234.395004124131,11858.193637381337,2843.7931176264988,5088.625277264407,823.1913800142934,6712.638876066228,9709.477963783622,2867.298525377559,643.1130790853877,1980.626770704682,1607.0969812667065,2344.069637042936,1922.6445502622116
2013-11-05 05:00:00,9451.06849231025,13610.301692575835,3263.9779266342543,5840.495385883259,944.8220677897906,7704.465203584743,11144.102416065338,3290.9563772045376,738.1362875708984,2273.274388495808,1844.5536844090557,2690.41777560367,2206.7250018725576
2013-11-05 06:00:00,10279.492919710654,14803.29975365144,3550.078810054957,6352.438458745523,1027.6395482832256,8379.79277949842,12120.928123172627,3579.4220310725213,802.8369224114895,2472.5360947405484,2006.2362847477555,2926.2437890365195,2400.1533848743147
2013-11-05 07:00:00,10427.76251535567,15016.81994242235,3601.2845216387927,6444.064912403759,1042.4620401593197,8500.661434860092,12295.758255913814,3631.050984108944,814.4169007999749,2508.199519955029,2035.173883618759,2968.4514141351506,2434.7727746283517
2013-11-05 08:00:00,10457.001024386986,15058.925756096336,3611.382199818097,6462.133491340252,1045.3850100419882,8524.496525635253,12330.234457139435,3641.2321247741343,816.7004526045189,2515.232286016641,2040.8803283032114,2976.7746851487937,2441.5996586943575
2013-11-05 09:00:00,10723.023536269106,15442.019651424509,3703.254521712443,6626.527946258524,1071.9792453879284,8741.356787290704,12643.911383701274,3733.863818499637,837.4770314104729,2579.218930861823,2092.7996223837868,3052.5028099910505,2503.7131148087483
2013-11-05 10:00:00,10895.418886742225,15690.28287502146,3762.7921939932517,6733.063440081812,1089.2135857848778,8881.892640994509,12847.189081168928,3793.8936001588795,850.941251259927,2620.6853465634094,2126.4458158431735,3101.578268043406,2543.965614344134
2013-11-05 11:00:00,10815.372483683406,15575.00959180248,3735.14773316821,6683.597006937033,1081.2113574528428,8816.639201392354,12752.803423668835,3766.0206436954863,844.6895607938898,2601.4317099917475,2110.8232555151035,3078.791610022907,2525.275621875707
2013-11-05 12:00:00,10772.87279160964,15513.806603861362,3720.470233271728,6657.333388631838,1076.962668854486,8781.993658508836,12702.690473846636,3751.221826739161,841.3702995954591,2591.2092191073716,2102.528641666447,3066.6933031377143,2515.352391169319
